Feature,Importance
MonthlyCharges,0.139182051964533
TotalCharges,0.13891555056362315
Contract,0.13134231808140645
tenure,0.1216818796601917
OnlineSecurity,0.08669783492164478
TechSupport,0.07612075110721811
PaymentMethod,0.04586891271700147
OnlineBackup,0.03742115951236795
Partner,0.029749788638336872
InternetService,0.026396683636513926
Dependents,0.02557800337023413
DeviceProtection,0.023959398226610213
gender,0.02265617868910774
MultipleLines,0.020497464491249152
PaperlessBilling,0.018751070499650937
StreamingTV,0.0169912302515223
StreamingMovies,0.01686859793345188
SeniorCitizen,0.01374199630261619
PhoneService,0.007579129432720036
